Timestamp,Sex,Birth Date,Address,Parent's Cohabitation Status,Mother's Education,Father's Education,Mother's Job,Father's Job,Study Time,Activities,Health,Peer Relationship,Region,Mathematics,Physics,Chemistry,Biology,English,Civics and Ethical Education,Scholastic Aptitude Test(SAT),General Chemistry,Communicative English Skills,General Physics I,Applied Mathematics - I,Introduction to computing (Python),Introduction to Civics and Ethics,Applied Mathematics II,General Physics II,Fundamentals of Programming (C++),Basic Writing skills,Engineering Drawing,Logic and Critical Thinking,School,Department,first_gpa,second_gpa,Performance
2020/01/18 11:35:31 AM GMT+3,Male,1999-07-23,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),Other,Teacher,6,Yes,Yes,Fair,Addis Ababa,36,35,62,89,85,71,82,B+,A,B+,C-,A-,B-,C-,C-,A,A,A+,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.13,3.13,3.13
2020/01/18 11:36:04 AM GMT+3,Male,2000-02-16,Urban,Divorced,Higher Education(University or College),Higher Education(University or College),Other,Civil services(e.g. administrative or police),10,Yes,Yes,Good,"Southern Nations, Nationalities, and Peoples' Region",55,52,68,68,53,70,70,B+,B+,A-,B+,A+,B,B-,B+,A+,B+,C+,B-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.54,3.14,3.34
2020/01/18 11:37:00 AM GMT+3,Male,1999-09-30,Urban,Divorced,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Other,7,Yes,Yes,Fair,Addis Ababa,52,68,77,70,83,70,80,B,A+,A,B-,A+,B,C,B-,A+,A,A,B,School of Electrical Engineering and Computing,Computer Science and Engineering,3.42,3.22,3.32
2020/01/18 11:40:37 AM GMT+3,Male,1998-03-13,Urban,Divorced,Higher Education(University or College),Preparatory school(11-12),Other,Other,3,Yes,Yes,Excellent,Addis Ababa,46,76,63,76,76,93,83,C+,A+,C,C,B,A-,C,C+,A+,B+,A-,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.83,3.14,2.99
2020/01/18 11:41:09 AM GMT+3,Male,2000-11-15,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),Other,Other,11,Yes,Yes,Good,Addis Ababa,65,56,66,78,54,80,65,B,A-,C,B-,A-,B,C-,B,A+,A+,A+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,3.03,3.21,3.12
2020/01/18 11:43:05 AM GMT+3,Male,1997-07-03,Urban,Living together,Preparatory school(11-12),Preparatory school(11-12),Other,Other,3,Yes,Yes,Excellent,Addis Ababa,58,60,70,70,78,69,87,C+,A,D,C,A+,B-,C+,C+,B+,A-,B+,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.67,3.17,2.92
2020/01/18 11:43:46 AM GMT+3,Male,1999-08-11,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,56,Yes,Yes,Good,Oromia Region,64,51,70,82,64,82,75,B-,B+,B-,B,A-,B,B,B-,A-,B+,A+,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.12,3.39,3.26
2020/01/18 11:45:31 AM GMT+3,Female,1999-06-08,Rural,Divorced,Higher Education(University or College),High school(9-10),Other,Other,18,Yes,Yes,Excellent,Addis Ababa,48,42,64,60,66,70,80,B+,B-,B-,C,B,C,C,C,A-,B+,A-,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.63,2.95,2.79
2020/01/18 11:45:42 AM GMT+3,Male,1992-07-06,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,20,No,Yes,Good,Oromia Region,62,53,66,70,53,82,67,A+,C+,B+,A-,A,A-,C+,B+,A,C+,A,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.59,3.37,3.48
2020/01/18 11:46:25 AM GMT+3,Male,1999-02-08,Urban,Living together,Elementary school(5-8),None,At home,Other,14,Yes,Yes,Good,Afar Region,68,52,66,78,43,81,67,B,B,A-,A,A+,B+,B-,C+,A-,B+,A-,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.57,3.26,3.41
2020/01/18 11:59:28 AM GMT+3,Male,1991-11-22,Urban,Divorced,Preparatory school(11-12),Higher Education(University or College),Other,Other,0,Yes,Yes,Good,"Southern Nations, Nationalities, and Peoples' Region",58,44,65,81,59,84,78,B,A,B-,C+,A,B,C,C,B-,A+,B+,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.17,2.91,3.04
2020/01/18 12:01:02 PM GMT+3,Male,2000-01-15,Urban,Divorced,Higher Education(University or College),Higher Education(University or College),Teacher,Other,5,Yes,Yes,Excellent,Amhara Region,50,55,70,70,84,80,74,A-,A,B,C,A-,C,D,C-,A+,A-,A+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,3.03,2.82,2.92
2020/01/18 12:02:11 PM GMT+3,Male,1999-09-07,Urban,Living together,High school(9-10),Elementary school(5-8),At home,Other,5,Yes,Yes,Fair,Amhara Region,46,50,68,70,64,92,75,A-,A,C+,B+,B-,B,A-,B-,B+,C+,B-,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.26,3.16,3.21
2020/01/18 12:03:48 PM GMT+3,Male,1999-10-23,Rural,Living together,Elementary school(5-8),Higher Education(University or College),At home,Teacher,15,Yes,Yes,Good,Oromia Region,60,45,70,75,72,75,60,B+,A-,C+,B+,A+,B,B,C,A+,B+,A+,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.38,3.32,3.35
2020/01/18 12:06:01 PM GMT+3,Male,1998-09-27,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),At home,Other,1,Yes,Yes,Good,Oromia Region,49,59,81,89,86,65,79,B+,A+,C-,C-,B+,C,C,D,B+,A-,B+,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.7,2.83,2.76
2020/01/18 12:09:38 PM GMT+3,Female,2000-08-18,Urban,Living together,Elementary school(5-8),Elementary school(5-8),At home,Other,4,Yes,Yes,Good,Oromia Region,63,43,70,80,60,63,45,B,B,A,A-,B,B,A+,C,A+,A-,C,B-,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.32,3.13,3.22
2020/01/18 12:10:08 PM GMT+3,Male,2020-01-07,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Civil services(e.g. administrative or police),15,Yes,Yes,Good,Amhara Region,70,60,80,80,70,90,80,A-,B+,B-,A-,B+,A,A-,B,B+,B+,A-,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.55,3.59,3.57
